run,frame_index,image,stamp_ns,t_rel_s,x,y,heading_deg,slope_label,slope_class,tilt_deg,grade_deg,grade_pct,cross_slope_deg,elevation_m,speed_mps,walking,posture,valid,kept_by_filter
20260920_033440,1,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000001.jpg,1789846481032463616,0.0,14.462,4.648,-55.9,flat,flat,1.5,-0.19,-0.3,-1.49,-0.0,0.0,False,standing,True,False
20260920_033440,2,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000002.jpg,1789846481061376256,0.029,14.462,4.648,-55.9,flat,flat,1.5,-0.19,-0.3,-1.49,-0.0,0.0,False,standing,True,False
20260920_033440,3,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000003.jpg,1789846481090114048,0.058,14.462,4.648,-55.9,flat,flat,1.5,-0.19,-0.3,-1.49,-0.0,0.0,False,standing,True,False
20260920_033440,4,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000004.jpg,1789846481118677504,0.086,14.462,4.648,-55.9,flat,flat,1.5,-0.19,-0.3,-1.49,-0.0,0.0,False,standing,True,False
20260920_033440,5,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000005.jpg,1789846481147066368,0.115,14.462,4.648,-55.9,flat,flat,1.5,-0.19,-0.3,-1.49,-0.0,0.0,False,standing,True,False
20260920_033440,6,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000006.jpg,1789846481175280640,0.143,14.462,4.648,-55.9,flat,flat,1.5,-0.19,-0.3,-1.49,-0.0,0.0,False,standing,True,False
20260920_033440,7,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000007.jpg,1789846481183655936,0.151,14.462,4.648,-55.9,flat,flat,1.5,-0.19,-0.3,-1.49,-0.0,0.0,False,standing,True,False
20260920_033440,8,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000008.jpg,1789846481316978176,0.285,14.462,4.648,-55.9,flat,flat,1.51,-0.19,-0.3,-1.49,-0.0,0.0,False,standing,True,False
20260920_033440,9,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000009.jpg,1789846481450253056,0.418,14.462,4.648,-55.9,flat,flat,1.51,-0.19,-0.3,-1.5,-0.0,0.0,False,standing,True,False
20260920_033440,10,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000010.jpg,1789846481550178560,0.518,14.462,4.648,-55.9,flat,flat,1.51,-0.19,-0.3,-1.5,-0.0,0.0,False,standing,True,False
20260920_033440,11,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000011.jpg,1789846481749949184,0.717,14.462,4.648,-55.9,flat,flat,1.51,-0.19,-0.3,-1.5,-0.0,0.0,False,standing,True,False
20260920_033440,12,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000012.jpg,1789846481783234048,0.751,14.462,4.648,-55.9,flat,flat,1.52,-0.19,-0.3,-1.5,-0.0,0.0,False,standing,True,False
20260920_033440,13,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000013.jpg,1789846481982880768,0.95,14.462,4.648,-55.9,flat,flat,1.52,-0.19,-0.3,-1.51,-0.0,0.0,False,standing,True,False
20260920_033440,14,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000014.jpg,1789846482115919616,1.083,14.462,4.648,-55.9,flat,flat,1.52,-0.19,-0.3,-1.51,-0.0,0.0,False,standing,True,False
20260920_033440,15,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000015.jpg,1789846482216459008,1.184,14.462,4.648,-55.9,flat,flat,1.52,-0.19,-0.3,-1.51,-0.0,0.0,False,standing,True,False
20260920_033440,16,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000016.jpg,1789846482282351104,1.25,14.462,4.648,-55.9,flat,flat,1.52,-0.19,-0.3,-1.51,-0.0,0.0,False,standing,True,False
20260920_033440,17,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000017.jpg,1789846482512463616,1.48,14.463,4.648,-55.9,flat,flat,1.52,-0.19,-0.3,-1.51,-0.0,0.0,False,standing,True,False
20260920_033440,18,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000018.jpg,1789846482872466688,1.84,14.462,4.648,-55.9,flat,flat,1.53,-0.19,-0.3,-1.52,-0.0,0.0,False,standing,True,False
